"influencer_id","platform","post_id","post_type","post_caption","post_datetime","post_url","likes_count","comments_count","shares_count","views_count","engagement_rate","followers_count","audience_gender_male_pct","audience_gender_female_pct","audience_age_13_17_pct","audience_age_18_24_pct","audience_age_25_34_pct","audience_age_35_44_pct","audience_age_45_54_pct","audience_age_55_64_pct","audience_age_65_plus_pct","audience_top_country","audience_top_city","sponsored","brand_mentioned","hashtags","language"
"influencer_001","Instagram","IG_10001_ABC","image","Sunset vibes in Santorini. #travel #wanderlust","2024-06-02T18:23:00Z","https://instagram.com/p/10001ABC","4120","221","37","","0.043","95000","44","56","3","32","41","13","7","3","1","GR","Athens","false","","travel,wanderlust,sunset,greekislands,explore","en"
"influencer_002","TikTok","TT_20002_DEF","video","Trying out the new viral dance challenge! #dance #challenge","2024-06-03T15:01:00Z","https://www.tiktok.com/@influencer_002/video/20002DEF","11450","1184","130","186000","0.162","70500","32","68","17","48","24","7","3","1","0","PH","Manila","false","","dance,challenge,trending,tiktok,viral","en"
"influencer_003","YouTube","YT_30003_GHI","video","Unboxing the latest gaming headset from SoundBlaze.","2024-06-04T13:15:00Z","https://youtube.com/watch?v=30003GHI","9480","682","546","238400","0.032","295000","81","19","4","36","44","9","5","1","1","US","Los Angeles","true","SoundBlaze","gaming,tech,unboxing,headset,review","en"
"influencer_004","Facebook","FB_40004_JKL","live","Join me live for family health tips.","2024-06-01T19:00:00Z","https://facebook.com/live/40004JKL","330","42","18","3400","0.026","12500","38","62","0","9","24","28","23","9","7","GB","Manchester","false","","health,family,advice,wellness","en"
"influencer_005","Twitter","TW_50005_MNO","text","Tech tip of the day: Always update your apps!","2024-06-05T21:45:00Z","https://twitter.com/influencer_005/status/50005MNO","59","8","16","","0.047","1800","66","34","2","14","39","28","13","4","0","PL","Warsaw","false","","tech,update,apps,security","pl"
"influencer_006","Instagram","IG_10006_PQR","reel","Quick healthy breakfast ideas! #fitness #nutrition","2024-06-02T07:50:00Z","https://instagram.com/reel/10006PQR","8060","399","63","115000","0.099","82000","31","69","6","39","41","8","4","2","0","DE","Berlin","true","NutriLife","fitness,nutrition,breakfast,health,wellness","de"
"influencer_007","Other","OT_70007_STU","other","Weekly eco tip: Reduce plastic in your kitchen.","2024-05-31T10:16:00Z","","47","3","5","","0.027","1750","37","63","0","9","19","38","22","9","3","NO","Oslo","false","","eco,plastic,tip,sustainability","no"
"influencer_008","Instagram","IG_10008_VWX","story","","2024-06-03T10:30:00Z","https://instagram.com/stories/10008VWX","0","0","0","32000","0","115000","40","60","2","41","45","7","3","2","0","US","Chicago","false","","story,travel,adventure,explore","en"
"influencer_009","TikTok","TT_20009_YZA","reel","Meme challenge: Try not to laugh! #funny","2024-06-04T21:10:00Z","https://tiktok.com/@influencer_009/reel/20009YZA","18200","1599","212","355000","0.086","215000","36","64","13","52","28","5","2","0","0","PH","Quezon City","true","LaughCo","funny,meme,challenge,viral,laugh","en"
"influencer_010","Facebook","FB_40010_BCD","story","","2024-06-05T16:08:00Z","https://facebook.com/story/40010BCD","14","2","1","1200","0.001","1400","41","59","1","6","18","23","27","15","9","ES","Valencia","false","","story,health,family,advice","es"
"influencer_011","Instagram","IG_10011_EFG","reel","My vegan lunch recipe. #vegan #plantbased","2024-06-01T12:30:00Z","https://instagram.com/reel/10011EFG","5930","280","51","91000","0.075","80000","27","73","3","37","44","10","4","2","0","FR","Paris","true","GreenBite","vegan,plantbased,recipe,healthyfood","fr"
"influencer_012","YouTube","YT_30012_HIJ","live","Live Q&A: Smart home tech for beginners.","2024-06-02T20:00:00Z","https://youtube.com/live/30012HIJ","3290","215","103","48500","0.015","410000","86","14","2","28","49","15","4","2","0","US","San Francisco","true","HomeSmart","smarthome,tech,live,QandA,homeautomation","en"
"influencer_013","Twitter","TW_50013_KLM","live","Join me for a live chat about nonprofit tech tools!","2024-06-03T18:22:00Z","https://twitter.com/influencer_013/status/50013KLM","35","6","3","800","0.022","2000","53","47","0","8","19","27","33","10","3","KE","Nairobi","false","","live,tech,nonprofit,chat","sw"
"influencer_014","Instagram","IG_10014_NOP","image","Morning yoga at home. #wellness #yoga","2024-06-04T07:35:00Z","https://instagram.com/p/10014NOP","3150","129","22","","0.041","77000","28","72","2","34","41","16","5","2","0","GB","London","false","","wellness,yoga,morning,healthy","en"
"influencer_015","TikTok","TT_20015_QRS","story","","2024-06-02T20:41:00Z","https://tiktok.com/@influencer_015/story/20015QRS","0","0","0","21000","0","29000","40","60","10","54","28","6","2","0","0","US","Miami","false","","story,challenge,fun,summer","en"
"influencer_016","YouTube","YT_30016_TUV","video","Review: DroneX Pro - best budget drone for beginners.","2024-06-03T12:00:00Z","https://youtube.com/watch?v=30016TUV","5830","436","129","94000","0.021","310000","91","9","2","21","47","19","8","2","1","US","Houston","true","DroneX","drone,review,tech,budget,beginner","en"
"influencer_017","Instagram","IG_10017_WXY","video","Exploring Berlin's art scene. #art #berlin","2024-06-05T14:08:00Z","https://instagram.com/p/10017WXY","2890","105","19","21000","0.052","59000","43","57","2","29","38","20","8","2","1","DE","Berlin","false","","art,berlin,explore,travel","de"
"influencer_018","Facebook","FB_40018_ZAB","live","Discussing family wellness and summer plans.","2024-06-02T17:10:00Z","https://facebook.com/live/40018ZAB","410","35","22","2800","0.031","14500","40","60","1","7","19","28","31","9","5","PT","Porto","false","","wellness,summer,health,family","pt"
"influencer_019","Twitter","TW_50019_CDE","text","Nonprofit spotlight: EcoYouth Kenya!","2024-06-01T11:44:00Z","https://twitter.com/influencer_019/status/50019CDE","18","2","6","","0.009","1200","49","51","0","7","22","33","28","7","3","KE","Mombasa","false","","nonprofit,ecoyouth,kenya,spotlight","sw"
"influencer_020","Other","OT_70020_EFG","other","Introducing our new community garden initiative.","2024-06-05T08:00:00Z","","23","2","6","","0.02","1150","48","52","0","4","18","21","32","16","9","NO","Bergen","false","","community,garden,initiative,local","no"
"influencer_021","Instagram","IG_10021_GHI","image","Coffee break in Paris. #coffee #parislife","2024-06-01T10:15:00Z","https://instagram.com/p/10021GHI","2600","77","14","","0.037","67000","40","60","1","25","52","16","5","1","0","FR","Paris","false","","coffee,parislife,break,cafe","fr"
"influencer_022","TikTok","TT_20022_IJK","video","Quick makeup tutorial with GlamUp.","2024-06-03T09:41:00Z","https://tiktok.com/@influencer_022/video/20022IJK","9650","1221","104","152000","0.114","96000","19","81","11","53","29","6","1","0","0","PH","Cebu City","true","GlamUp","makeup,tutorial,glamup,beauty,trend","en"
